scenario,rank,zip,final_score,w_rent_to_price,w_crime,w_owner_occupancy,w_commute
baseline,1,78109,0.7087,0.35,0.25,0.2,0.2
baseline,2,78239,0.6805,0.35,0.25,0.2,0.2
baseline,3,78254,0.4407,0.35,0.25,0.2,0.2
baseline,4,78154,0.4204,0.35,0.25,0.2,0.2
baseline,5,78130,0.3196,0.35,0.25,0.2,0.2
rent_to_price+10% / crime-10%,1,78109,0.7832,0.45,0.15,0.2,0.2
rent_to_price+10% / crime-10%,2,78239,0.7473,0.45,0.15,0.2,0.2
rent_to_price+10% / crime-10%,3,78254,0.4829,0.45,0.15,0.2,0.2
rent_to_price+10% / crime-10%,4,78154,0.3374,0.45,0.15,0.2,0.2
rent_to_price+10% / crime-10%,5,78253,0.2849,0.45,0.15,0.2,0.2
rent_to_price+10% / owner_occupancy-10%,1,78109,0.7483,0.45,0.25,0.1,0.2
rent_to_price+10% / owner_occupancy-10%,2,78239,0.7284,0.45,0.25,0.1,0.2
rent_to_price+10% / owner_occupancy-10%,3,78154,0.3859,0.45,0.25,0.1,0.2
rent_to_price+10% / owner_occupancy-10%,4,78254,0.3829,0.45,0.25,0.1,0.2
rent_to_price+10% / owner_occupancy-10%,5,78130,0.3394,0.45,0.25,0.1,0.2
rent_to_price+10% / commute-10%,1,78109,0.7218,0.45,0.25,0.2,0.1
rent_to_price+10% / commute-10%,2,78239,0.6734,0.45,0.25,0.2,0.1
rent_to_price+10% / commute-10%,3,78254,0.4364,0.45,0.25,0.2,0.1
rent_to_price+10% / commute-10%,4,78154,0.3485,0.45,0.25,0.2,0.1
rent_to_price+10% / commute-10%,5,78130,0.3394,0.45,0.25,0.2,0.1
crime+10% / rent_to_price-10%,1,78109,0.6343,0.25,0.35,0.2,0.2
crime+10% / rent_to_price-10%,2,78239,0.6137,0.25,0.35,0.2,0.2
crime+10% / rent_to_price-10%,3,78154,0.5035,0.25,0.35,0.2,0.2
crime+10% / rent_to_price-10%,4,78130,0.3997,0.25,0.35,0.2,0.2
crime+10% / rent_to_price-10%,5,78254,0.3985,0.25,0.35,0.2,0.2
crime+10% / owner_occupancy-10%,1,78109,0.6739,0.35,0.35,0.1,0.2
crime+10% / owner_occupancy-10%,2,78239,0.6616,0.35,0.35,0.1,0.2
crime+10% / owner_occupancy-10%,3,78154,0.469,0.35,0.35,0.1,0.2
crime+10% / owner_occupancy-10%,4,78130,0.4196,0.35,0.35,0.1,0.2
crime+10% / owner_occupancy-10%,5,78254,0.3407,0.35,0.35,0.1,0.2
crime+10% / commute-10%,1,78109,0.6473,0.35,0.35,0.2,0.1
crime+10% / commute-10%,2,78239,0.6066,0.35,0.35,0.2,0.1
crime+10% / commute-10%,3,78154,0.4315,0.35,0.35,0.2,0.1
crime+10% / commute-10%,4,78130,0.4196,0.35,0.35,0.2,0.1
crime+10% / commute-10%,5,78254,0.3942,0.35,0.35,0.2,0.1
owner_occupancy+10% / rent_to_price-10%,1,78109,0.6692,0.25,0.25,0.3,0.2
owner_occupancy+10% / rent_to_price-10%,2,78239,0.6326,0.25,0.25,0.3,0.2
owner_occupancy+10% / rent_to_price-10%,3,78254,0.4985,0.25,0.25,0.3,0.2
owner_occupancy+10% / rent_to_price-10%,4,78154,0.4549,0.25,0.25,0.3,0.2
owner_occupancy+10% / rent_to_price-10%,5,78253,0.3828,0.25,0.25,0.3,0.2
owner_occupancy+10% / crime-10%,1,78109,0.7436,0.35,0.15,0.3,0.2
owner_occupancy+10% / crime-10%,2,78239,0.6994,0.35,0.15,0.3,0.2
owner_occupancy+10% / crime-10%,3,78254,0.5407,0.35,0.15,0.3,0.2
owner_occupancy+10% / crime-10%,4,78154,0.3718,0.35,0.15,0.3,0.2
owner_occupancy+10% / crime-10%,5,78253,0.3575,0.35,0.15,0.3,0.2
owner_occupancy+10% / commute-10%,1,78109,0.6822,0.35,0.25,0.3,0.1
owner_occupancy+10% / commute-10%,2,78239,0.6255,0.35,0.25,0.3,0.1
owner_occupancy+10% / commute-10%,3,78254,0.4942,0.35,0.25,0.3,0.1
owner_occupancy+10% / commute-10%,4,78154,0.3829,0.35,0.25,0.3,0.1
owner_occupancy+10% / commute-10%,5,78253,0.3545,0.35,0.25,0.3,0.1
commute+10% / rent_to_price-10%,1,78109,0.6957,0.25,0.25,0.2,0.3
commute+10% / rent_to_price-10%,2,78239,0.6876,0.25,0.25,0.2,0.3
commute+10% / rent_to_price-10%,3,78154,0.4923,0.25,0.25,0.2,0.3
commute+10% / rent_to_price-10%,4,78254,0.4451,0.25,0.25,0.2,0.3
commute+10% / rent_to_price-10%,5,78253,0.3384,0.25,0.25,0.2,0.3
commute+10% / crime-10%,1,78109,0.7701,0.35,0.15,0.2,0.3
commute+10% / crime-10%,2,78239,0.7544,0.35,0.15,0.2,0.3
commute+10% / crime-10%,3,78254,0.4873,0.35,0.15,0.2,0.3
commute+10% / crime-10%,4,78154,0.4093,0.35,0.15,0.2,0.3
commute+10% / crime-10%,5,78253,0.3132,0.35,0.15,0.2,0.3
commute+10% / owner_occupancy-10%,1,78239,0.7355,0.35,0.25,0.1,0.3
commute+10% / owner_occupancy-10%,2,78109,0.7352,0.35,0.25,0.1,0.3
commute+10% / owner_occupancy-10%,3,78154,0.4579,0.35,0.25,0.1,0.3
commute+10% / owner_occupancy-10%,4,78254,0.3873,0.35,0.25,0.1,0.3
commute+10% / owner_occupancy-10%,5,78130,0.3196,0.35,0.25,0.1,0.3
